entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
전체 > 전체 > 균등화 소득평균(만원),2022,시장소득,4145,,data,0,데이터,3,4,1,none,,
전체 > 전체 > 균등화 소득평균(만원),2022,처분가능소득,3936,,data,0,데이터,3,5,1,none,,
전체 > 전체 > 균등화 소득평균(만원),2023,시장소득,4513,,data,0,데이터,3,6,1,none,,
전체 > 전체 > 균등화 소득평균(만원),2023,처분가능소득,4276,,data,0,데이터,3,7,1,none,,
전체 > 전체 > 균등화 소득평균(만원),2024,시장소득,4718,,data,0,데이터,3,8,1,none,,
전체 > 전체 > 균등화 소득평균(만원),2024,처분가능소득,4472,,data,0,데이터,3,9,1,none,,
전체 > 전체 > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,20.2,,data,0,데이터,4,4,1,none,,DITTO_FILLED
전체 > 전체 > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,14.9,,data,0,데이터,4,5,1,none,,DITTO_FILLED
전체 > 전체 > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,19.9,,data,0,데이터,4,6,1,none,,DITTO_FILLED
전체 > 전체 > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,14.9,,data,0,데이터,4,7,1,none,,DITTO_FILLED
전체 > 전체 > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,20.9,,data,0,데이터,4,8,1,none,,DITTO_FILLED
전체 > 전체 > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,15.3,,data,0,데이터,4,9,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2022,시장소득,4591,,data,0,데이터,5,4,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2022,처분가능소득,4237,,data,0,데이터,5,5,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2023,시장소득,4995,,data,0,데이터,5,6,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2023,처분가능소득,4601,,data,0,데이터,5,7,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2024,시장소득,5266,,data,0,데이터,5,8,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2024,처분가능소득,4827,,data,0,데이터,5,9,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,12.7,,data,0,데이터,6,4,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,10,,data,0,데이터,6,5,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,12.2,,data,0,데이터,6,6,1,none,,DITTO_FILLED
전체 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,9.8,,data,0,데이터,6,7,1,none,,DITTO_FILLED
