entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
합계 > 계 > 합계,2023,적용인구 (명),51453055,,subtotal,0,데이터,3,4,1,none,,SUBTOTAL_COLOR_BOLD
합계 > 계 > 합계,2024,적용인구 (명),51439246,,subtotal,0,데이터,3,5,1,none,,SUBTOTAL_COLOR_BOLD
합계 > 계 > 1 - 4세,2023,적용인구 (명),1120106,,subtotal,0,데이터,4,4,1,none,,DITTO_FILLED
합계 > 계 > 1 - 4세,2024,적용인구 (명),1048829,,subtotal,0,데이터,4,5,1,none,,DITTO_FILLED
합계 > 계 > 0세,2023,적용인구 (명),228075,,subtotal,0,데이터,5,4,1,none,,DITTO_FILLED
합계 > 계 > 0세,2024,적용인구 (명),237582,,subtotal,0,데이터,5,5,1,none,,DITTO_FILLED
합계 > 계 > 5 - 9세,2023,적용인구 (명),1997362,,subtotal,0,데이터,6,4,1,none,,DITTO_FILLED
합계 > 계 > 5 - 9세,2024,적용인구 (명),1871671,,subtotal,0,데이터,6,5,1,none,,DITTO_FILLED
합계 > 계 > 10 - 14세,2023,적용인구 (명),2300062,,subtotal,0,데이터,7,4,1,none,,DITTO_FILLED
합계 > 계 > 10 - 14세,2024,적용인구 (명),2297496,,subtotal,0,데이터,7,5,1,none,,DITTO_FILLED
합계 > 계 > 15 - 19세,2023,적용인구 (명),2287296,,subtotal,0,데이터,8,4,1,none,,DITTO_FILLED
합계 > 계 > 15 - 19세,2024,적용인구 (명),2272669,,subtotal,0,데이터,8,5,1,none,,DITTO_FILLED
합계 > 계 > 20 - 24세,2023,적용인구 (명),2893742,,subtotal,0,데이터,9,4,1,none,,DITTO_FILLED
합계 > 계 > 20 - 24세,2024,적용인구 (명),2785036,,subtotal,0,데이터,9,5,1,none,,DITTO_FILLED
합계 > 계 > 25 - 29세,2023,적용인구 (명),3574698,,subtotal,0,데이터,10,4,1,none,,DITTO_FILLED
합계 > 계 > 25 - 29세,2024,적용인구 (명),3495842,,subtotal,0,데이터,10,5,1,none,,DITTO_FILLED
합계 > 계 > 30 - 34세,2023,적용인구 (명),3581621,,subtotal,0,데이터,11,4,1,none,,DITTO_FILLED
합계 > 계 > 30 - 34세,2024,적용인구 (명),3671655,,subtotal,0,데이터,11,5,1,none,,DITTO_FILLED
합계 > 계 > 35 - 39세,2023,적용인구 (명),3335789,,subtotal,0,데이터,12,4,1,none,,DITTO_FILLED
합계 > 계 > 35 - 39세,2024,적용인구 (명),3320654,,subtotal,0,데이터,12,5,1,none,,DITTO_FILLED
합계 > 계 > 40 - 44세,2023,적용인구 (명),4135877,,subtotal,0,데이터,13,4,1,none,,DITTO_FILLED
합계 > 계 > 40 - 44세,2024,적용인구 (명),3981128,,subtotal,0,데이터,13,5,1,none,,DITTO_FILLED
합계 > 계 > 45 - 49세,2023,적용인구 (명),3909253,,subtotal,0,데이터,14,4,1,none,,DITTO_FILLED
합계 > 계 > 45 - 49세,2024,적용인구 (명),3885057,,subtotal,0,데이터,14,5,1,none,,DITTO_FILLED
합계 > 계 > 50 - 54세,2023,적용인구 (명),4520410,,subtotal,0,데이터,15,4,1,none,,DITTO_FILLED
합계 > 계 > 50 - 54세,2024,적용인구 (명),4451745,,subtotal,0,데이터,15,5,1,none,,DITTO_FILLED
합계 > 계 > 55 - 59세,2023,적용인구 (명),4183158,,subtotal,0,데이터,16,4,1,none,,DITTO_FILLED
합계 > 계 > 55 - 59세,2024,적용인구 (명),4263057,,subtotal,0,데이터,16,5,1,none,,DITTO_FILLED
합계 > 계 > 60 - 64세,2023,적용인구 (명),4170065,,subtotal,0,데이터,17,4,1,none,,DITTO_FILLED
합계 > 계 > 60 - 64세,2024,적용인구 (명),4147459,,subtotal,0,데이터,17,5,1,none,,DITTO_FILLED
합계 > 계 > 65 - 69세,2023,적용인구 (명),3309991,,subtotal,0,데이터,18,4,1,none,,DITTO_FILLED
합계 > 계 > 65 - 69세,2024,적용인구 (명),3515735,,subtotal,0,데이터,18,5,1,none,,DITTO_FILLED
합계 > 계 > 70 - 74세,2023,적용인구 (명),2160185,,subtotal,0,데이터,19,4,1,none,,DITTO_FILLED
합계 > 계 > 70 - 74세,2024,적용인구 (명),2287022,,subtotal,0,데이터,19,5,1,none,,DITTO_FILLED
합계 > 계 > 75 - 79세,2023,적용인구 (명),1592979,,subtotal,0,데이터,20,4,1,none,,DITTO_FILLED
합계 > 계 > 75 - 79세,2024,적용인구 (명),1673268,,subtotal,0,데이터,20,5,1,none,,DITTO_FILLED
합계 > 계 > 80 - 84세,2023,적용인구 (명),1232406,,subtotal,0,데이터,21,4,1,none,,DITTO_FILLED
합계 > 계 > 80 - 84세,2024,적용인구 (명),1238953,,subtotal,0,데이터,21,5,1,none,,DITTO_FILLED
합계 > 계 > 85세 이상,2023,적용인구 (명),919980,,subtotal,0,데이터,22,4,1,none,,DITTO_FILLED
합계 > 계 > 85세 이상,2024,적용인구 (명),994388,,subtotal,0,데이터,22,5,1,none,,DITTO_FILLED
합계 > 남자 > 합계,2023,적용인구 (명),25752807,,subtotal,0,데이터,23,4,1,none,,DITTO_FILLED
합계 > 남자 > 합계,2024,적용인구 (명),25736965,,subtotal,0,데이터,23,5,1,none,,DITTO_FILLED
합계 > 남자 > 1 - 4세,2023,적용인구 (명),573749,,subtotal,0,데이터,24,4,1,none,,DITTO_FILLED
합계 > 남자 > 1 - 4세,2024,적용인구 (명),536740,,subtotal,0,데이터,24,5,1,none,,DITTO_FILLED
합계 > 남자 > 0세,2023,적용인구 (명),116859,,subtotal,0,데이터,25,4,1,none,,DITTO_FILLED
합계 > 남자 > 0세,2024,적용인구 (명),121606,,subtotal,0,데이터,25,5,1,none,,DITTO_FILLED
합계 > 남자 > 5 - 9세,2023,적용인구 (명),1023779,,subtotal,0,데이터,26,4,1,none,,DITTO_FILLED
합계 > 남자 > 5 - 9세,2024,적용인구 (명),959872,,subtotal,0,데이터,26,5,1,none,,DITTO_FILLED
합계 > 남자 > 10 - 14세,2023,적용인구 (명),1181254,,subtotal,0,데이터,27,4,1,none,,DITTO_FILLED
합계 > 남자 > 10 - 14세,2024,적용인구 (명),1178614,,subtotal,0,데이터,27,5,1,none,,DITTO_FILLED
합계 > 남자 > 15 - 19세,2023,적용인구 (명),1178332,,subtotal,0,데이터,28,4,1,none,,DITTO_FILLED
합계 > 남자 > 15 - 19세,2024,적용인구 (명),1168895,,subtotal,0,데이터,28,5,1,none,,DITTO_FILLED
합계 > 남자 > 20 - 24세,2023,적용인구 (명),1504459,,subtotal,0,데이터,29,4,1,none,,DITTO_FILLED
합계 > 남자 > 20 - 24세,2024,적용인구 (명),1449516,,subtotal,0,데이터,29,5,1,none,,DITTO_FILLED
합계 > 남자 > 25 - 29세,2023,적용인구 (명),1893495,,subtotal,0,데이터,30,4,1,none,,DITTO_FILLED
합계 > 남자 > 25 - 29세,2024,적용인구 (명),1846068,,subtotal,0,데이터,30,5,1,none,,DITTO_FILLED
합계 > 남자 > 30 - 34세,2023,적용인구 (명),1907745,,subtotal,0,데이터,31,4,1,none,,DITTO_FILLED
합계 > 남자 > 30 - 34세,2024,적용인구 (명),1965504,,subtotal,0,데이터,31,5,1,none,,DITTO_FILLED
합계 > 남자 > 35 - 39세,2023,적용인구 (명),1736618,,subtotal,0,데이터,32,4,1,none,,DITTO_FILLED
합계 > 남자 > 35 - 39세,2024,적용인구 (명),1736134,,subtotal,0,데이터,32,5,1,none,,DITTO_FILLED
합계 > 남자 > 40 - 44세,2023,적용인구 (명),2117690,,subtotal,0,데이터,33,4,1,none,,DITTO_FILLED
합계 > 남자 > 40 - 44세,2024,적용인구 (명),2044094,,subtotal,0,데이터,33,5,1,none,,DITTO_FILLED
합계 > 남자 > 45 - 49세,2023,적용인구 (명),1994705,,subtotal,0,데이터,34,4,1,none,,DITTO_FILLED
합계 > 남자 > 45 - 49세,2024,적용인구 (명),1976331,,subtotal,0,데이터,34,5,1,none,,DITTO_FILLED
합계 > 남자 > 50 - 54세,2023,적용인구 (명),2289531,,subtotal,0,데이터,35,4,1,none,,DITTO_FILLED
합계 > 남자 > 50 - 54세,2024,적용인구 (명),2258862,,subtotal,0,데이터,35,5,1,none,,DITTO_FILLED
합계 > 남자 > 55 - 59세,2023,적용인구 (명),2089308,,subtotal,0,데이터,36,4,1,none,,DITTO_FILLED
합계 > 남자 > 55 - 59세,2024,적용인구 (명),2124606,,subtotal,0,데이터,36,5,1,none,,DITTO_FILLED
합계 > 남자 > 60 - 64세,2023,적용인구 (명),2051168,,subtotal,0,데이터,37,4,1,none,,DITTO_FILLED
합계 > 남자 > 60 - 64세,2024,적용인구 (명),2043183,,subtotal,0,데이터,37,5,1,none,,DITTO_FILLED
합계 > 남자 > 65 - 69세,2023,적용인구 (명),1599361,,subtotal,0,데이터,38,4,1,none,,DITTO_FILLED
합계 > 남자 > 65 - 69세,2024,적용인구 (명),1693399,,subtotal,0,데이터,38,5,1,none,,DITTO_FILLED
합계 > 남자 > 70 - 74세,2023,적용인구 (명),1012324,,subtotal,0,데이터,39,4,1,none,,DITTO_FILLED
합계 > 남자 > 70 - 74세,2024,적용인구 (명),1074965,,subtotal,0,데이터,39,5,1,none,,DITTO_FILLED
합계 > 남자 > 75 - 79세,2023,적용인구 (명),713512,,subtotal,0,데이터,40,4,1,none,,DITTO_FILLED
합계 > 남자 > 75 - 79세,2024,적용인구 (명),754500,,subtotal,0,데이터,40,5,1,none,,DITTO_FILLED
합계 > 남자 > 80 - 84세,2023,적용인구 (명),488424,,subtotal,0,데이터,41,4,1,none,,DITTO_FILLED
합계 > 남자 > 80 - 84세,2024,적용인구 (명),495632,,subtotal,0,데이터,41,5,1,none,,DITTO_FILLED
합계 > 남자 > 85세 이상,2023,적용인구 (명),280494,,subtotal,0,데이터,42,4,1,none,,DITTO_FILLED
합계 > 남자 > 85세 이상,2024,적용인구 (명),308444,,subtotal,0,데이터,42,5,1,none,,DITTO_FILLED
합계 > 여자 > 합계,2023,적용인구 (명),25700248,,subtotal,0,데이터,43,4,1,none,,DITTO_FILLED
합계 > 여자 > 합계,2024,적용인구 (명),25702281,,subtotal,0,데이터,43,5,1,none,,DITTO_FILLED
합계 > 여자 > 1 - 4세,2023,적용인구 (명),546357,,subtotal,0,데이터,44,4,1,none,,DITTO_FILLED
합계 > 여자 > 1 - 4세,2024,적용인구 (명),512089,,subtotal,0,데이터,44,5,1,none,,DITTO_FILLED
합계 > 여자 > 0세,2023,적용인구 (명),111216,,subtotal,0,데이터,45,4,1,none,,DITTO_FILLED
합계 > 여자 > 0세,2024,적용인구 (명),115976,,subtotal,0,데이터,45,5,1,none,,DITTO_FILLED
합계 > 여자 > 5 - 9세,2023,적용인구 (명),973583,,subtotal,0,데이터,46,4,1,none,,DITTO_FILLED
합계 > 여자 > 5 - 9세,2024,적용인구 (명),911799,,subtotal,0,데이터,46,5,1,none,,DITTO_FILLED
합계 > 여자 > 10 - 14세,2023,적용인구 (명),1118808,,subtotal,0,데이터,47,4,1,none,,DITTO_FILLED
합계 > 여자 > 10 - 14세,2024,적용인구 (명),1118882,,subtotal,0,데이터,47,5,1,none,,DITTO_FILLED
합계 > 여자 > 15 - 19세,2023,적용인구 (명),1108964,,subtotal,0,데이터,48,4,1,none,,DITTO_FILLED
합계 > 여자 > 15 - 19세,2024,적용인구 (명),1103774,,subtotal,0,데이터,48,5,1,none,,DITTO_FILLED
합계 > 여자 > 20 - 24세,2023,적용인구 (명),1389283,,subtotal,0,데이터,49,4,1,none,,DITTO_FILLED
합계 > 여자 > 20 - 24세,2024,적용인구 (명),1335520,,subtotal,0,데이터,49,5,1,none,,DITTO_FILLED
합계 > 여자 > 25 - 29세,2023,적용인구 (명),1681203,,subtotal,0,데이터,50,4,1,none,,DITTO_FILLED
합계 > 여자 > 25 - 29세,2024,적용인구 (명),1649774,,subtotal,0,데이터,50,5,1,none,,DITTO_FILLED
합계 > 여자 > 30 - 34세,2023,적용인구 (명),1673876,,subtotal,0,데이터,51,4,1,none,,DITTO_FILLED
합계 > 여자 > 30 - 34세,2024,적용인구 (명),1706151,,subtotal,0,데이터,51,5,1,none,,DITTO_FILLED
합계 > 여자 > 35 - 39세,2023,적용인구 (명),1599171,,subtotal,0,데이터,52,4,1,none,,DITTO_FILLED
합계 > 여자 > 35 - 39세,2024,적용인구 (명),1584520,,subtotal,0,데이터,52,5,1,none,,DITTO_FILLED
